Time_Stamp,Gender,Faculty,Clothing_Buy_Rate,Is_In_Fashion,Same_Cloth_Freq,Cloth_Retain_Knowledge,Damaged_Case,Online_Shopping_Rate,Shopping_Method,Things_Retain_Knowledge,Second_Hand_Market_Interest,Interest_Category
"5/9/2024, 12:37:36",หญิง,บุคคลากรภายในมหาวิทยาลัย,1-3 ชิ้น,ไม่❌,มากกว่า 10 ครั้ง,ปานกลาง,"ทิ้ง, ",ไม่ค่อยซื้อ,ออนไลน์,ไม่รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 12:48:46",หญิง,คณะครุศาสตร์,1-3 ชิ้น,ใช่คับ✅,มากกว่า 10 ครั้ง,น้อย,ซ่อม,เป็นประจำ,ออนไลน์,รู้,เฉยๆ,สิ่งของเครื่องใช้
"5/9/2024, 12:56:49",หญิง,คณะอักษรศาสตร์,1-3 ชิ้น,ไม่❌,มากกว่า 10 ครั้ง,ปานกลาง,ซ่อม,ไม่ค่อยซื้อ,ไปซื้อที่ร้าน,รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 12:57:29",หญิง,คณะครุศาสตร์,1-3 ชิ้น,ไม่❌,มากกว่า 10 ครั้ง,ปานกลาง,ซ่อม,ซื้อบ้างแต่ไม่บ่อย,"ออนไลน์, ไปซื้อที่ร้าน",รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 12:58:35",หญิง,คณะอักษรศาสตร์,1-3 ชิ้น,ไม่❌,มากกว่า 10 ครั้ง,ปานกลาง,ซ่อม,ซื้อบ้างแต่ไม่บ่อย,"ออนไลน์, ไปซื้อที่ร้าน",รู้,เฉยๆ,สิ่งของเครื่องใช้
"5/9/2024, 12:58:46",LGBTQI+,คณะวิทยาศาสตร์,7-9 ชิ้น,ไม่❌,มากกว่า 10 ครั้ง,น้อย,"ซ่อม, ส่งต่อให้ผู้อื่น",เป็นประจำ,ออนไลน์,รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 13:09:50",หญิง,คณะแพทยศาสตร์,4-6 ชิ้น,ใช่คับ✅,มากกว่า 10 ครั้ง,ปานกลาง,ทิ้ง,เป็นประจำ,ออนไลน์,รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 13:11:56",LGBTQI+,คณะครุศาสตร์,1-3 ชิ้น,ใช่คับ✅,มากกว่า 10 ครั้ง,น้อย,ทิ้ง,ไม่ซื้อเลย,ไปซื้อที่ร้าน,ไม่รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 13:12:41",ชาย,คณะวิศวกรรมศาสตร์,ไม่ได้ซื้อ,ไม่❌,มากกว่า 10 ครั้ง,ปานกลาง,ทิ้ง,ซื้อบ้างแต่ไม่บ่อย,ออนไลน์,รู้,เฉยๆ,เครื่องประดับ
"5/9/2024, 13:14:47",หญิง,คณะครุศาสตร์,1-3 ชิ้น,ใช่คับ✅,มากกว่า 10 ครั้ง,ปานกลาง,ซ่อม,ซื้อบ้างแต่ไม่บ่อย,ออนไลน์,รู้,เฉยๆ,เสื้อผ้า
"5/9/2024, 13:16:34",หญิง,คณะครุศาสตร์,1-3 ชิ้น,ใช่คับ✅,มากกว่า 10 ครั้ง,ปานกลาง,ซ่อม,เป็นประจำ,"ออนไลน์, ไปซื้อที่ร้าน",รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 13:19:06",หญิง,คณะครุศาสตร์,"4-6 ชิ้น, มากกว่า 10 ชิ้น",ใช่คับ✅,"1-3 ครั้ง, 4-6 ครั้ง",ปานกลาง,ซ่อม,เป็นประจำ,ออนไลน์,รู้,"เฉยๆ, ไม่!",เสื้อผ้า
"5/9/2024, 13:19:19",หญิง,คณะครุศาสตร์,1-3 ชิ้น,ไม่❌,มากกว่า 10 ครั้ง,ปานกลาง,ซ่อม,เป็นประจำ,ออนไลน์,รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 13:22:53",ชาย,คณะวิศวกรรมศาสตร์,1-3 ชิ้น,ไม่❌,มากกว่า 10 ครั้ง,น้อย,ทิ้ง,เป็นประจำ,ออนไลน์,ไม่รู้,เฉยๆ,เสื้อผ้า
"5/9/2024, 13:25:05",หญิง,คณะครุศาสตร์,4-6 ชิ้น,ไม่❌,มากกว่า 10 ครั้ง,ปานกลาง,ซ่อม,ซื้อบ้างแต่ไม่บ่อย,"ออนไลน์, ไปซื้อที่ร้าน",รู้,เฉยๆ,สิ่งของเครื่องใช้
"5/9/2024, 13:30:27",ชาย,คณะนิเทศศาสตร์,1-3 ชิ้น,ไม่❌,มากกว่า 10 ครั้ง,ปานกลาง,ซ่อม,ไม่ค่อยซื้อ,ไปซื้อที่ร้าน,รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 13:31:45",หญิง,คณะศิลปกรรมศาสตร์,1-3 ชิ้น,ใช่คับ✅,มากกว่า 10 ครั้ง,มาก,ซ่อม,ซื้อบ้างแต่ไม่บ่อย,ไปซื้อที่ร้าน,รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 13:33:20",ชาย,คณะครุศาสตร์,ไม่ได้ซื้อ,ไม่❌,มากกว่า 10 ครั้ง,ปานกลาง,ซ่อม,ไม่ซื้อเลย,ไปซื้อที่ร้าน,ไม่รู้,เฉยๆ,สิ่งของเครื่องใช้
"5/9/2024, 13:36:20",หญิง,คณะวิศวกรรมศาสตร์,1-3 ชิ้น,ใช่คับ✅,7-9 ครั้ง,ปานกลาง,ซ่อม,เป็นประจำ,ออนไลน์,รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 13:40:04",หญิง,คณะครุศาสตร์,4-6 ชิ้น,ใช่คับ✅,มากกว่า 10 ครั้ง,ปานกลาง,"ซ่อม, ส่งต่อให้ผู้อื่น",เป็นประจำ,ออนไลน์,รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 13:40:18",ชาย,คณะครุศาสตร์,1-3 ชิ้น,ไม่❌,มากกว่า 10 ครั้ง,มาก,ส่งต่อให้ผู้อื่น,ซื้อบ้างแต่ไม่บ่อย,"ออนไลน์, ไปซื้อที่ร้าน",รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 13:41:06",หญิง,คณะครุศาสตร์,1-3 ชิ้น,ไม่❌,มากกว่า 10 ครั้ง,ปานกลาง,เก็บไว้แต่ไม่ได้นำมาใส่,เป็นประจำ,ออนไลน์,รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 13:42:53",หญิง,คณะครุศาสตร์,1-3 ชิ้น,ใช่คับ✅,1-3 ครั้ง,ปานกลาง,ซ่อม,ซื้อบ้างแต่ไม่บ่อย,ออนไลน์,รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 13:45:14",หญิง,คณะครุศาสตร์,1-3 ชิ้น,ใช่คับ✅,ไม่ใส่ซ้ำ,ปานกลาง,ซ่อม,ไม่ค่อยซื้อ,"ออนไลน์, ไปซื้อที่ร้าน",รู้,ชอบบบบบบ,สิ่งของเครื่องใช้
"5/9/2024, 13:46:07",ชาย,คณะเศรษฐศาสตร์,1-3 ชิ้น,ใช่คับ✅,มากกว่า 10 ครั้ง,มาก,"ซ่อม, ส่งต่อให้ผู้อื่น",เป็นประจำ,"ออนไลน์, ไปซื้อที่ร้าน",รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 13:48:25",ชาย,คณะวิศวกรรมศาสตร์,1-3 ชิ้น,ใช่คับ✅,"ไม่ใส่ซ้ำ, 1-3 ครั้ง",ปานกลาง,ซ่อม,ซื้อบ้างแต่ไม่บ่อย,"ออนไลน์, ไปซื้อที่ร้าน",รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 13:53:45",LGBTQI+,คณะครุศาสตร์,4-6 ชิ้น,ใช่คับ✅,7-9 ครั้ง,ปานกลาง,"ซ่อม, ส่งต่อให้ผู้อื่น",เป็นประจำ,"ออนไลน์, ไปซื้อที่ร้าน",รู้,เฉยๆ,เสื้อผ้า
"5/9/2024, 14:07:23",ชาย,คณะวิทยาศาสตร์การกีฬา,ไม่ได้ซื้อ,ไม่❌,มากกว่า 10 ครั้ง,มาก,ซ่อม,เป็นประจำ,"ออนไลน์, ไปซื้อที่ร้าน",รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 14:07:55",ชาย,คณะรัฐศาสตร์,1-3 ชิ้น,ไม่❌,7-9 ครั้ง,ปานกลาง,ซ่อม,เป็นประจำ,"ออนไลน์, ไปซื้อที่ร้าน",ไม่รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 14:17:34",หญิง,คณะศิลปกรรมศาสตร์,1-3 ชิ้น,ใช่คับ✅,มากกว่า 10 ครั้ง,น้อย,ถ้าเป็นตัวโปรดจะซ่อมครับ แต่ถ้าไม่ก็จะส่งต่อให้ผู้อื่น หรือถ้าไม่สามารถส่งต่อได้จริงๆเพราะชำรุดมากเกิน ก็จะทิ้งครับ,ซื้อบ้างแต่ไม่บ่อย,ออนไลน์,ไม่รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 14:23:19",หญิง,คณะครุศาสตร์,ไม่ได้ซื้อ,ใช่คับ✅,7-9 ครั้ง,ปานกลาง,ซ่อม,ซื้อบ้างแต่ไม่บ่อย,ออนไลน์,รู้,เฉยๆ,เสื้อผ้า
"5/9/2024, 14:30:04",LGBTQI+,คณะวิทยาศาสตร์,ไม่ได้ซื้อ,ไม่❌,มากกว่า 10 ครั้ง,น้อย,"ซ่อม, ทิ้ง",ไม่ซื้อเลย,ไปซื้อที่ร้าน,รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 14:39:49",หญิง,คณะวิทยาศาสตร์,ไม่ได้ซื้อ,ไม่❌,มากกว่า 10 ครั้ง,ปานกลาง,ซ่อม,เป็นประจำ,ไปซื้อที่ร้าน,รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 14:52:40",หญิง,คณะอักษรศาสตร์,1-3 ชิ้น,ไม่❌,มากกว่า 10 ครั้ง,มาก,"ซ่อม, ส่งต่อให้ผู้อื่น",ซื้อบ้างแต่ไม่บ่อย,ไปซื้อที่ร้าน,รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 14:57:24",หญิง,คณะจิตวิทยา,1-3 ชิ้น,ใช่คับ✅,มากกว่า 10 ครั้ง,ปานกลาง,ส่งต่อให้ผู้อื่น,ซื้อบ้างแต่ไม่บ่อย,ออนไลน์,รู้,เฉยๆ,สิ่งของเครื่องใช้
"5/9/2024, 15:32:50",ชาย,คณะวิศวกรรมศาสตร์,1-3 ชิ้น,ไม่❌,1-3 ครั้ง,มาก,ทิ้ง,ซื้อบ้างแต่ไม่บ่อย,ออนไลน์,ไม่รู้,เฉยๆ,เสื้อผ้า
"5/9/2024, 15:46:22",หญิง,คณะครุศาสตร์,1-3 ชิ้น,ใช่คับ✅,มากกว่า 10 ครั้ง,ปานกลาง,ซ่อม,ซื้อบ้างแต่ไม่บ่อย,ออนไลน์,ไม่รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 16:09:49",หญิง,คณะรัฐศาสตร์,1-3 ชิ้น,,มากกว่า 10 ครั้ง,ปานกลาง,ซ่อม,ซื้อบ้างแต่ไม่บ่อย,"ออนไลน์, ไปซื้อที่ร้าน",รู้,เฉยๆ,เสื้อผ้า
"5/9/2024, 16:29:55",ชาย,คณะวิทยาศาสตร์,1-3 ชิ้น,ใช่คับ✅,"4-6 ครั้ง, 7-9 ครั้ง, มากกว่า 10 ครั้ง",ปานกลาง,ซ่อม,ซื้อบ้างแต่ไม่บ่อย,"ออนไลน์, ไปซื้อที่ร้าน",รู้,ชอบบบบบบ,เทปคาสเซ็ท
"5/9/2024, 16:49:50",หญิง,คณะพาณิชยศาสตร์และการบัญชี,4-6 ชิ้น,ใช่คับ✅,มากกว่า 10 ครั้ง,ปานกลาง,ซ่อม,ซื้อบ้างแต่ไม่บ่อย,ไปซื้อที่ร้าน,ไม่รู้,เฉยๆ,เสื้อผ้า
